8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,3.027498120222738e-05,2014865,15314,2014804,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.4555476165533108e-05,12909544,10130,12909227,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,0.9999843544652356,2.4850178366953024e-05,10824872,63916,10824603,1,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,0.9999681427206116,2.015506755703722e-05,5060762,31390,5060660,1,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.880470230996583e-05,4374701,18363,4374400,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,0.9999408563993376,5.1786419480892576e-05,3302024,16908,3301853,1,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.567466364782444e-05,2296700,10077,2296664,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,1.0,1.6485459824466808e-05,6005292,79250,6005193,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,6.742612392196534e-06,6970592,6723,6970545,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.697463517355231e-05,7383374,67601,7382658,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,1.0,5.70437528250034e-05,11254519,59940,11253877,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,1.0,7.640035275580104e-05,10196288,55417,10195509,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,5.767087008912153e-05,15519100,15374,15518205,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,0.9999574558604553,5.824327945791463e-05,14336418,23505,14335583,1,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,2.977867003495227e-05,2014865,15314,2014805,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.440055202568292e-05,12909544,10130,12909229,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,1.0,2.466541867651717e-05,10824872,63916,10824605,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,0.9999681427206116,1.936467275087672e-05,5060762,31390,5060664,1,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.880470230996583e-05,4374701,18363,4374400,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,1.0,5.45120205062144e-05,3302024,16908,3301844,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 18, 'path': '/home/nxw500/data/', 'std_ratio': 41, 'voxel_size': 0.5}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.6545478294993643e-05,2296700,10077,2296662,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,1.0,1.9149776563698317e-05,6005292,79250,6005177,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,6.8860722303165645e-06,6970592,6723,6970544,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.724551404277637e-05,7383374,67601,7382656,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,1.0,5.70437528250034e-05,11254519,59940,11253877,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,1.0,8.267714682053118e-05,10196288,55417,10195445,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,6.147263694411542e-05,15519100,15374,15518146,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,1.0,6.089387181651418e-05,14336418,23505,14335545,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,3.176391470394169e-05,2014865,15314,2014801,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.4632938235513713e-05,12909544,10130,12909226,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,0.9999687089304713,2.5127317902717827e-05,10824872,63916,10824600,2,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,0.9999681427206116,2.035266625854959e-05,5060762,31390,5060659,1,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.880470230996583e-05,4374701,18363,4374400,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,1.0,5.844899976503726e-05,3302024,16908,3301831,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 20, 'path': '/home/nxw500/data/', 'std_ratio': 30, 'voxel_size': 0.2}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.567466364782444e-05,2296700,10077,2296664,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,1.0,1.6651979620641022e-05,6005292,79250,6005192,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,6.8860722303165645e-06,6970592,6723,6970544,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.724551404277637e-05,7383374,67601,7382656,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,1.0,5.70437528250034e-05,11254519,59940,11253877,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,0.9999819549957594,7.620420294129904e-05,10196288,55417,10195511,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,5.792861699449592e-05,15519100,15374,15518201,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.1}
